ISO,Year,PPP_a_t_na,PPP_n_t_na,PPP_t_na,rVA_a_t,rVA_n_t,rVA_t
AUT,2012,0.4630891088953007,0.9807224543253562,0.9636190080016457,12452086791.10738,362337512723.4348,374752840645.1236
AUT,2013,0.47019518538223715,1.0309879734526495,1.0123272497938298,11593182549.47153,362270838045.2637,374333434027.85474
AUT,2014,0.446824391468829,1.0541884970170579,1.0341102102852928,12519541448.241966,364540853923.13257,377028296896.9603
AUT,2015,0.3619443370602315,0.9025912211079953,0.8847154294818735,11992444841.123812,368693993074.5518,381049711226.9494
AUT,2016,0.3585689787661073,0.917487353681657,0.8990132705735198,12618438160.283596,376215062721.4036,388978844075.4699
AUT,2017,0.39869727096801594,0.9436862083860778,0.9256321180728687,12487437261.731152,385421648318.5254,398317856403.761
AUT,2018,0.3908439729323189,1.0051597555303773,0.984868824846401,12843115353.649757,396057444486.6383,409314061056.50073
AUT,2019,0.36560740360515237,0.9673482652279243,0.9475125551526499,12657178989.952621,403431515152.76697,416761057699.29974
AUT,2020,0.3793425272144043,1.0138556082492878,0.992923718552407,12268737645.343513,379045955973.58203,391723870549.8954
AUT,2021,0.4481442681427619,1.06637478139601,1.0459078258147354,13036390342.622066,396619798193.70013,409966847577.07
AUT,2022,0.4659857696743657,0.9916061965527788,0.9741599280504298,13918263806.975912,419701681797.44836,433875885340.9916
AUT,2023,0.4901221238145595,1.0915162918531667,1.0715539255415003,13540309278.184004,414909725719.82495,428832482863.4587
BGD,1970,0.09145602775167341,0.07213999562663283,0.08048212012493954,26649048122.28098,47038125304.19879,72445236647.66339
BGD,1971,0.08064276897744534,0.07365696654041008,0.07752505021560306,25447682857.33303,44467600288.22288,68719983301.1514
BGD,1972,0.11748065635373893,0.07952920337329833,0.09553172495011535,22723099651.517994,37777794923.602936,59393490485.89408
BGD,1973,0.12132687251956699,0.09101618052845045,0.10392299864516441,22785104575.44603,39409208796.29529,61115645461.14724
BGD,1974,0.1401713607927856,0.09697765769851634,0.11408168435019658,24252057090.53261,44321545132.6949,67474840688.03413
BGD,1975,0.17872322856563888,0.08711690373767837,0.12079716894312656,23145308490.938545,43480115779.37303,65601349682.573746
BGD,1976,0.15450104553014382,0.11429813683438633,0.13091604054162473,25086705471.365322,44739600281.81257,68666720609.38821
BGD,1977,0.15572810732566103,0.12025285071486572,0.13403580048011313,24168973054.27085,47927565363.99897,71079627670.10138
BGD,1978,0.19133142040334464,0.14190849993924426,0.16088388373010284,26062423622.146053,51201392063.95697,76157244525.06859
