country1,country2,sector,GEKS_index,GEKS_index_standardized
PRT,USA,aggregate,1.0387169734004427,0.8281458507641071
ROU,USA,aggregate,0.601108264895795,0.47925019825545123
RUS,USA,aggregate,0.5169927924797728,0.41218681020052583
RWA,USA,aggregate,0.3867291977705596,0.3083305546212077
SEN,USA,aggregate,0.4931610509177604,0.39318629476035455
SGP,USA,aggregate,0.8155957857383442,0.6502563096169904
SVK,USA,aggregate,0.6263501965333577,0.49937502675660245
SVN,USA,aggregate,0.8414107609522803,0.6708380129668573
SWE,USA,aggregate,1.5395885310842192,1.2274795604113686
THA,USA,aggregate,0.39361623476750396,0.3138214354473936
TUN,USA,aggregate,0.5572456755517093,0.44427953512075846
TUR,USA,aggregate,0.7655955840614068,0.6103922652078875
TWN,USA,aggregate,0.6237061390893417,0.4972669787921261
TZA,USA,aggregate,0.4182916318147692,0.3334945785690971
UGA,USA,aggregate,0.4386950890840434,0.34976179948826286
USA,USA,aggregate,1.2542681611482416,1.0
VNM,USA,aggregate,0.33133263746797115,0.2641641139679787
ZAF,USA,aggregate,0.673999662215928,0.5373648818438501
ZMB,USA,aggregate,0.7001135421590637,0.5581848952604622
